"ngram","fc","rc"
"in·advance·",53,0
"in·after-hours·trading·",0,38
"in·all·",230,170
"in·almost·",21,20
"In·an·",222,64
"in·and·",157,76
"In·another·",21,16
"in·anticipation·",17,0
"In·any·",32,0
"in·areas·",116,70
"in·areas·such·",42,0
"in·around·",0,28
"in·association·",0,18
"in·Belfast·",14,0
"in·both·",168,364
"in·brief·",34,92
"in·California.·",0,16
"in·case·",106,26
"in·case·",0,26
"in·case·of·",25,14
"in·central·",0,30
"in·China·",37,174
"in·combination·with·the·",0,14
"in·conjunction·with·",14,32
"in·December.·",31,32
"in·devolved·",44,0
"in·different·",39,52
"in·East·",36,52
"in·England·and·Wales·",20,28
"in·English·by·",19,0
"in·EU·",186,26
"in·Europe.·",19,20
"in·Europe·in·",16,48
"in·Europe·is·",14,14
"in·everyone's·",14,0
"In·fact·",96,36
"in·fact·",89,56
"in·favour·",428,14
"in·future·",68,34
"in·future·",68,0
"in·Germany.·",0,18
"in·Glasgow·",53,22
"in·her·",401,294
"in·innovative·",0,16
"in·it·",0,16
"in·January·",45,28
"in·June.·",91,32
"In·June·",19,22
"in·June·2016.·",30,16
"in·key·",39,34
"in·late-stage·",0,48
"in·late·",44,134
"in·light·of·",74,20
"in·light·of·the·",28,0
"in·line·",179,164
"in·lost·",24,0
"in·making·",36,20
"in·men·",0,18
"in·Middlesbrough.·",0,14
"in·mind·",23,14
"in·more·",96,152
"In·my·",21,0
"in·national·",14,0
"in·new·",130,110
"in·New·York·",31,48
"in·no·",83,16
"in·no·",83,0
"in·November.·",31,18
"In·one·",22,22
"in·order·",528,316
"in·our·",761,616
"in·our·",0,616
"in·Paris·",37,14
"in·Parliament·on·",16,0
"in·Phase·III·",0,124
"in·place·to·",0,24
"in·potential·",0,24
"in·recent·months·",23,0
"in·recent·years.·",24,24
"in·response·",0,62
"in·retail·",16,0
"in·Richmond·",16,0
"in·sales·",46,120
"in·San·",0,58
"in·short·",14,18
"in·so·",19,0
"in·specific·",0,16
"in·support·",92,54
"in·support·of·",66,0
"in·terms·",431,178
"In·terms·of·",38,50
"in·that·",229,74
"in·the·area.·",17,54
"in·the·Department·for·",15,0
"in·the·development·",14,150
"in·the·EU·",181,30
"in·the·European·Union·",21,30
"in·the·face·",119,62
"in·the·final·",65,18
"in·the·first·half·",66,134
"in·the·first·quarter·",33,98
"in·the·first·six·",22,14
"in·the·future·",78,30
"in·the·medium·",21,0
"IN·THE·NEWS·",21,14
"in·the·next·few·",54,28
"in·the·North·",141,14
"in·the·number·",84,52
"in·the·ongoing·",16,18
"in·the·pipeline·",0,22
"in·the·process.·",22,0
"in·the·region.·",27,18
"in·the·Republic·of·",15,16
"in·the·Republic·of·",0,16
"in·the·right·",54,16
"in·the·second·half·of·",23,78
"in·the·second·quarter·of·",19,36
"in·the·short·",115,18
"in·the·short·term·",22,0
"in·the·street·",13,20
"in·the·supply·of·",0,16
"in·the·third·quarter·",32,90
"in·the·top·",23,18
"in·the·two·",22,18
"in·the·UK·and·the·",31,0
"in·the·wake·",314,18
"in·the·way·",122,24
"in·their·",634,346
"in·this·area·",0,42
"in·three·",84,0
"in·turn·",56,38
"in·UK·",231,34
"in·what·is·",18,14
"in·which·",676,408
"in·which·the·",118,64
"in·which·they·",28,18
"in·with·",38,24
"in·York·",20,36
"in·your·",87,40
"in'·(top·right·corner).·",0,300
"in'·(top·right·corner).·You·",15,0
"in'·(top·right·corner).·You·can·then·",15,0
"incident·has·",0,34
"incident·reference·number·",0,28
"included·in·",0,134
"included·the·",44,28
"includes·the·",78,80
"including·one·",16,20
"including·our·",0,14
"income·and·",24,18
"income·from·",24,22
"increase·by·",36,0
"increase·the·",108,118
"increase·to·",0,26
"increased·its·",29,0
"indecent·images·",0,16
"independent·charity·Crimestoppers·anonymously·on·0800·",0,22
"independent·French·",0,16
"India·and·",27,50
"India·for·",0,18
"indications·that·",14,0
"industrial·strategy·",62,14
"industry·and·",26,28
"industry·as·",34,30
"industry·in·",100,66
"inflation·in·",18,0
"information·is·asked·to·call·police·",0,18
"Information·Limited·",71,16
"information·relating·to·",0,24
"information·should·contact·police·on·101.·",0,16
"information·to·",34,154
"initiate·the·",0,14
"injuries·are·not·believed·to·",0,24
"injury·to·his·",0,18
"inside·and·",15,24
"insight·into·the·",14,0
"instance·or·",0,88
"Institutional·Investor·PLC·",95,0
"instrumental·in·",15,50
"integration·of·",14,54
"intention·to·",111,50
"interest·from·",28,22
"interest·in·",184,120
"interests·in·",44,14
"interests·of·all·",18,0
"interim·efficacy·",0,14
"International·(TSX:·VRX)·",0,30
"into·a·definitive·",0,52
"into·account·the·",29,52
"into·account·the·",0,52
"into·how·",22,16
"into·its·",35,46
"into·the·",1338,1012
"into·the·",1338,0
"into·the·",0,1012
"investigation·is·asked·",0,18
"Investigation·Unit·on·",0,36
"investigational·therapy·",0,24
"investment·from·",23,18
"investment·officer·",14,0
"Investment·Week·",126,0
"investments·are·",16,0
"investors·were·",19,18
"invoking·Article·",32,0
"involved·with·",26,22
"involving·a·van·and·a·",0,18
"involving·the·",0,22
"ironic·that·",14,0
"irrespective·of·",38,14
"IS·a·",0,14
"is·a·big·",50,22
"is·a·clear·",38,18
"is·a·great·",58,64
"is·a·lounge·a·",0,16
"is·a·nonthreatening·",0,14
"is·a·nonthreatening·way·to·",0,14
"is·a·novel·",0,14
"is·a·significant·",30,66
"is·a·small·",14,14
"is·a·vital·",18,0
"is·already·",244,0
"is·an·",730,944
"is·available·",30,124
"is·based·in·",20,0
"is·becoming·",105,0
"is·being·",472,596
"is·being·carried·",0,16
"is·believed·",43,290
"is·best·",61,18
"is·both·",31,14
"is·both·",31,0
"is·building·",14,0
"is·calling·",79,20
"is·clear·",212,0
"is·committed·",0,88
"is·confident·",37,0
"is·continuing·",36,24
"is·critical·to·",14,24
"is·described·",0,148
"is·due·to·be·",31,26
"is·expected·that·",0,30
"is·expected·to·be·",0,120
"is·expected·to·begin·in·",0,14
"is·expecting·",14,0
"is·far·",114,0
"is·focused·",19,76
"is·focused·on·",19,0
"is·for·",245,0
"is·forced·",26,0
"is·good·news·",19,14
"is·having·",71,0
"is·highly·",40,66
"is·hoping·",51,32
"is·hoping·to·",28,24
"is·imperative·",29,0
"is·important·that·",59,18
"is·important·that·",59,0
"is·in·a·serious·",0,16
"is·jailed·",0,16
"is·key·",28,20
"is·known·for·",0,14
"is·less·",69,14
"is·looking·",143,84
"is·looking·for·",21,42
"is·looking·to·",32,24
"is·made·up·of·",21,20
"is·needed·",89,48
"is·nothing·to·",16,0
"is·now·a·",56,0
"is·on·the·",94,0
"is·one·of·the·",191,166
"is·our·",116,70
"is·out·",50,18
"is·owned·",15,22
"is·owned·by·",14,22
"is·part·of·the·",51,52
"is·planning·",60,34
"is·planning·",60,0
"is·poised·",13,14
"is·probably·",51,14
"is·quite·",0,14
"is·really·",94,24
"is·reflected·",14,14
"is·reflected·",0,14
"is·reported·to·",17,24
"is·seen·as·",67,0
"is·some·",51,0
"is·still·a·",70,20
"is·subject·to·",22,0
"is·such·a·",24,18
"is·that·the·",254,34
"is·that·this·",26,14
"is·that·this·",26,0
"is·that·we·",139,0
"is·the·biggest·",76,0
"is·the·last·",16,0
"is·the·leading·cause·",0,38
"is·the·main·",14,0
"is·the·most·",82,78
"is·the·only·",135,98
"is·this·",76,30
"is·thought·",51,114
"is·to·make·",32,16
"is·too·",156,28
"is·truly·",16,0
"is·understood·",124,106
"is·what·",296,0
"is·working·with·",0,28
"Israeli·generics·",0,42
"issue·of·",331,0
"issued·a·",135,224
"issued·the·",17,22
"issued·to·",14,16
"issues·that·",126,20
"issues·with·",26,24
"it.·I·",36,16
"It·added·",42,0
"it·also·",86,36
"it·an·",20,32
"it·as·",14,0
"it·becomes·",0,32
"it·by·",43,18
"it·by·",43,0
"it·could·",442,116
"it·currently·",19,0
"it·did·not·",48,0
"it·difficult·",29,16
"it·does·",204,50
"it·does·not·",91,34
"it·expects·",31,66
"it·from·",49,32
"it·had·been·",53,18
"it·had·to·",0,16
"It·has·also·",19,14
"it·has·entered·into·a·",0,18
"it·has·not·",28,16
"it·into·",0,42
"it·is·",4080,1306
"It·is·a·",0,22
"it·is·important·",83,38
"it·is·now·",52,18
"It·is·planned·that·the·new·",0,14
"it·is·to·",59,22
"it·is·unlikely·",26,0
"it·made·",29,24
"it·needs·",0,16
"it·needs·to·",58,14
"it·now·",54,24
"it·or·not·",22,0
"it·provides·",16,20
"it·said.·",81,0
"It·said·",154,16
"it·seems·",147,18
"it·shows·",20,0
"it·to·",489,238
"it·with·",79,68
"It·would·be·",119,14
"It's·clear·",22,0
"It's·the·",21,0
"item·and·",0,88
"its·annual·",41,40
"its·business·",35,0
"its·cancer·",0,18
"its·growth·",34,20
"its·growth·",0,20
"its·intention·",22,18
"its·most·",0,16
"its·next·",21,20
"its·pipeline·",0,28
"its·presence·in·",0,24
"its·second·",31,14
"its·shares·",26,108
"its·US·",0,60
"its·use·",0,38
"James·Cook·University·",0,16
"Jan·van·de·Winkel·",0,16
"Janssen·and·",0,26
"January·1·",47,0
"January·10·",66,114
"January·11·",46,76
"January·16·2017·Monday·",16,60
"January·17·2017·Tuesday·",23,54
"January·2·",33,70
"January·20.·",0,14
"January·24·",61,0
"January·26·",78,124
"January·26·2017·",49,118
"January·29·",59,48
"January·29·2017·",19,46
"January·3·",40,100
"January·30·",51,136
"January·5·2017·Thursday·",16,62
"January·6·",52,106
"January·9·",49,78
"JD·Wetherspoon·",30,0
"JEREMY·CORBYN·",30,0
"jobs·or·",13,0
"Johnson·&·",0,338
"Johnston·Press·",1108,0
"Johnston·Press·Plc·",1106,1312
"joined·by·",0,20
"joint·venture·",0,148
"JOURNAL-CODE:·BMM·",109,44
"JOURNAL-CODE:·EST·",390,110
"JOURNAL-CODE:·ETI·",53,206
"JOURNAL-CODE:·HDM·",0,16
"JOURNAL-CODE:·MEN·",30,76
"JOURNAL-CODE:·NEC·",64,68
"JOURNAL-CODE:·PDE·",23,44
"JOURNAL-CODE:·SFMB·",0,14
"JOURNAL-CODE:·STEN·",0,14
"JOURNAL-CODE:·STS·",181,68
"JOURNAL-CODE:·TIM·",820,824
"Journal·(Newcastle·",228,118
"Journals·Ltd·",0,354
"July·13·2016·",30,90
"July·16·2016·Saturday·",0,32
"July·17·",103,0
"July·18·2016·",44,90
"July·19·2016·",35,100
"July·2·2016·",29,46
"July·2016·",13,36
"July·23·",67,0
"July·25·",120,110
"July·27·",104,0
"July·29·2016·Friday·",14,60
"July·4·",89,0
"July·4·2016·Monday·",14,0
"July·6·2016·",0,92
"July·7·",0,108
"July·8·",0,104
"July·9·",89,62
"June·22·",86,160
"June·24·",96,92
"June·8·",0,94
"just·as·",171,48
"just·in·",66,14
"just·over·",98,60
"Justice·Department·",0,18
"Khan·said·",13,0
"King's·College·",14,18
"KM·Media·Group·",54,146
"Korea·and·",16,30
"labour·is·",13,0
"Labour·Party·",228,14
"laid·bare·",19,0
"Lancaster·Guardian·",0,20
"Lantus·(insulin·",0,30
"last·couple·of·",16,0
"last·four·",0,16
"last·month·",228,86
"last·night·after·",49,34
"last·night's·",17,0
"last·three·",37,26
"last·week·",512,132
"Last·week·",118,0
"later·in·the·",34,14
"later·than·",21,24
"later·this·",149,126
"launch·of·a·",18,0
"launch·the·",25,40
"launched·a·",147,146
"launched·after·a·",0,26
"launched·an·",34,34
"laws·on·",21,0
"lead·product·",0,14
"lead·us·",26,0
"leader·in·",100,208
"leader·of·",312,28
"leader·would·",14,0
"leaders·for·",16,0
"leading·a·",26,14
"leads·to·",49,70
"leave·-·",18,0
"leave·for·",13,0
"leave·the·",2582,64
"leave·the·customs·",36,0
"leave·the·EU·and·",22,0
"leave·the·EU·on·",28,0
"leave·vote·",28,0
"Leave·vote·",52,0
"leaves·the·European·Union.·",48,0
"leaving·the·European·Union.·",82,0
"led·to·the·",58,48
"left·in·",0,108
"left·on·",14,18
"left·on·",14,0
"Legal·&·General·",22,0
"LENGTH:·100·words·",31,50
"LENGTH:·106·words·",0,76
"LENGTH:·109·words·",32,112
"LENGTH:·114·",31,112
"LENGTH:·114·words·",31,112
"LENGTH:·118·",32,126
"LENGTH:·119·",44,78
"LENGTH:·123·",34,96
"LENGTH:·127·",60,102
"LENGTH:·129·",39,90
"LENGTH:·130·words·",38,96
"LENGTH:·136·words·",44,62
"LENGTH:·139·words·",47,52
"LENGTH:·14·",0,26
"LENGTH:·140·",44,88
"LENGTH:·141·words·",38,60
"LENGTH:·141·words·",0,60
"LENGTH:·144·",39,46
"LENGTH:·15·",0,28
"LENGTH:·15·words·",0,28
"LENGTH:·152·",36,42
"LENGTH:·156·",49,48
"LENGTH:·159·",32,38
"LENGTH:·162·",54,24
"LENGTH:·162·words·",54,24
"LENGTH:·163·",39,40
"LENGTH:·169·words·",41,32
"LENGTH:·172·",46,18
"LENGTH:·173·",39,24
"LENGTH:·174·words·",44,24
"LENGTH:·176·words·",51,26
"LENGTH:·178·",55,28
"LENGTH:·186·",54,20
"LENGTH:·187·words·",43,32
"LENGTH:·190·",42,20
"LENGTH:·191·",41,32
"LENGTH:·195·words·",38,28
"LENGTH:·196·words·",0,20
"LENGTH:·197·",40,30
"LENGTH:·197·words·",40,30
"LENGTH:·198·",39,24
"LENGTH:·203·",32,16
"LENGTH:·203·words·",32,16
"LENGTH:·203·words·",32,0
"LENGTH:·205·",46,32
"LENGTH:·214·words·",42,0
"LENGTH:·216·",45,0
"LENGTH:·216·words·",45,28
"LENGTH:·216·words·",45,0
"LENGTH:·220·",41,22
"LENGTH:·220·words·",41,0
"LENGTH:·220·words·",0,22
"LENGTH:·221·",42,16
"LENGTH:·225·words·",45,18
"LENGTH:·227·words·",42,36
"LENGTH:·230·",44,20
"LENGTH:·238·words·",46,0
"LENGTH:·242·words·",47,28
"LENGTH:·244·words·",0,24
"LENGTH:·246·",32,20
"LENGTH:·249·",39,18
"LENGTH:·251·words·",38,32
"LENGTH:·253·",0,22
"LENGTH:·253·words·",50,0
"LENGTH:·254·words·",44,0
"LENGTH:·255·",52,26
"LENGTH:·256·words·",45,0
"LENGTH:·261·words·",38,28
"LENGTH:·262·words·",36,20
"LENGTH:·264·",34,22
"LENGTH:·266·",41,26
"LENGTH:·267·words·",38,22
"LENGTH:·268·",32,20
"LENGTH:·272·",36,14
"LENGTH:·277·words·",28,20
"LENGTH:·278·words·",42,24
"LENGTH:·280·",0,22
"LENGTH:·281·words·",36,28
"LENGTH:·283·words·",0,14
"LENGTH:·287·",38,24
"LENGTH:·287·words·",38,24
"LENGTH:·288·",25,22
"LENGTH:·289·words·",24,16
"LENGTH:·297·words·",32,28
"LENGTH:·302·words·",24,24
"LENGTH:·303·",0,20
"LENGTH:·307·words·",24,0
"LENGTH:·310·",26,18
"LENGTH:·312·",29,16
"LENGTH:·318·",42,20
"LENGTH:·318·words·",42,20
"LENGTH:·324·",30,20
"LENGTH:·327·words·",22,22
"LENGTH:·332·",0,26
"LENGTH:·332·words·",28,26
"LENGTH:·338·",34,20
"LENGTH:·339·",21,26
"LENGTH:·341·",28,26
"LENGTH:·341·words·",28,26
"LENGTH:·342·words·",18,0
"LENGTH:·353·",22,20
"LENGTH:·353·words·",22,20
"LENGTH:·355·words·",32,14
"LENGTH:·360·",22,22
"LENGTH:·362·words·",25,16
"LENGTH:·365·words·",24,16
"LENGTH:·367·",19,0
"LENGTH:·367·words·",19,18
"LENGTH:·369·",27,20
"LENGTH:·371·words·",22,24
"LENGTH:·378·words·",17,20
"LENGTH:·380·words·",13,14
"LENGTH:·381·words·",18,22
"LENGTH:·383·words·",24,20
"LENGTH:·387·",16,24
"LENGTH:·392·",21,18
"LENGTH:·393·",31,0
"LENGTH:·405·words·",18,0
"LENGTH:·406·",18,24
"LENGTH:·406·words·",18,24
"LENGTH:·410·",22,18
"LENGTH:·413·words·",0,14
"LENGTH:·415·",15,14
"LENGTH:·418·words·",17,0
"LENGTH:·419·",16,0
"LENGTH:·421·words·",15,16
"LENGTH:·421·words·",0,16
"LENGTH:·424·",17,16
"LENGTH:·429·words·",14,22
"LENGTH:·45·words·",0,122
"LENGTH:·454·words·",18,18
"LENGTH:·470·",14,18
"LENGTH:·477·words·",14,0
"LENGTH:·523·",15,0
"LENGTH:·531·words·",15,0
"LENGTH:·536·",13,14
"LENGTH:·59·",16,136
"LENGTH:·60·words·",0,114
"LENGTH:·67·words·",13,176
"LENGTH:·68·",41,78
"LENGTH:·68·words·",41,78
"LENGTH:·72·",20,124
"LENGTH:·73·",16,100
"LENGTH:·73·words·",16,0
"LENGTH:·77·",19,0
"LENGTH:·78·words·",26,68
"LENGTH:·85·words·",31,70
"LENGTH:·86·",32,126
"LENGTH:·86·words·",32,126
"LENGTH:·87·words·",26,64
"LENGTH:·88·",28,66
"LENGTH:·9·words·",0,22
"LENGTH:·90·words·",34,70
"LENGTH:·90·words·",34,0
"LENGTH:·91·",39,56
"LENGTH:·91·words·",39,56
"LENGTH:·97·",29,68
"LENGTH:·98·words·",25,76
"Leonards·Observer·",0,30
"lesinurad·plus·",0,26
"less·than·",344,252
"let·it·",21,0
"Let·us·",48,0
"letter·is·",21,0
"Letter's·local·correspondent·",0,16
"LETTERS;·Pg.·",536,0
"letters·-·click·",28,0
"Letters·to·the·Editor·",114,32
"levels·and·",26,22
"levels·of·",227,232
"level·since·",72,0
"leverage·its·",0,26
"Lewis·McLellan·",0,18
"life·of·",29,48
"Life·Sciences·",18,56
"like·it·",68,14
"Like·our·Facebook·",0,300
"Like·our·Facebook·page·",14,284
"like·to·",0,538
"likely·be·",38,16
"likes·to·",14,0
"Lilly·(NYSE:·",0,160
"line·is·",27,0
"linked·to·",171,0
"listed·on·",22,0
"listening·to·",72,16
"little·as·",16,0
"live·with·",35,32
"Liverpool·Daily·Post·&·",73,100
"lives·and·",31,36
"lives·in·",68,0
"lives·of·",58,130
"living·in·",430,78
"LOAD-DATE:·April·18·",46,46
"LOAD-DATE:·April·26·2017·",23,66
"LOAD-DATE:·April·4·",0,28
"LOAD-DATE:·April·4·2017·",0,28
"LOAD-DATE:·August·13·",34,34
"LOAD-DATE:·August·14·",44,0
"LOAD-DATE:·August·17·2016·",22,62
"LOAD-DATE:·August·24·",66,42
"LOAD-DATE:·August·24·2016·",22,0
"LOAD-DATE:·August·25·",45,36
"LOAD-DATE:·August·3·2016·",23,18
"LOAD-DATE:·August·5·",48,58
"LOAD-DATE:·August·6·",0,28
"LOAD-DATE:·December·12·2016·",22,38
"LOAD-DATE:·December·13·",58,138
"LOAD-DATE:·December·16·2016·",14,36
"LOAD-DATE:·December·17·2016·",0,20
"LOAD-DATE:·December·18·",45,72
"LOAD-DATE:·December·20·",54,154
"LOAD-DATE:·December·27·2016·",14,28
"LOAD-DATE:·December·3·2016·",16,28
"LOAD-DATE:·December·9·",53,64
"LOAD-DATE:·February·19·",31,40
"LOAD-DATE:·February·21·2017·",19,60
"LOAD-DATE:·February·22·",41,72
"LOAD-DATE:·February·22·2017·",19,72
"LOAD-DATE:·February·23·2017·",18,88
"LOAD-DATE:·February·27·",44,42
"LOAD-DATE:·February·8·",49,164
"LOAD-DATE:·February·9·",71,136
"LOAD-DATE:·January·10·2017·",0,52
"LOAD-DATE:·January·20·",30,26
"LOAD-DATE:·January·23·2017·",17,42
"LOAD-DATE:·January·24·2017·",19,64
"LOAD-DATE:·January·25·",36,60
"LOAD-DATE:·January·28·",29,22
"LOAD-DATE:·January·29·",31,22
"LOAD-DATE:·January·4·",30,70
"LOAD-DATE:·January·5·",32,32
"LOAD-DATE:·January·5·2017·",18,32
"LOAD-DATE:·July·",1400,966
"LOAD-DATE:·July·13·",64,36
"LOAD-DATE:·July·17·",50,14
"LOAD-DATE:·July·18·2016·",28,36
"LOAD-DATE:·July·2·2016·",14,16
"LOAD-DATE:·July·21·",0,32
"LOAD-DATE:·July·29·2016·",14,50
"LOAD-DATE:·July·30·2016·",0,32
"LOAD-DATE:·July·6·2016·",14,36
"LOAD-DATE:·July·6·2016·",0,36
"LOAD-DATE:·July·8·",26,38
"LOAD-DATE:·July·9·",42,26
"LOAD-DATE:·June·23·",41,0
"LOAD-DATE:·June·29·",63,66
"LOAD-DATE:·March·",991,1146
"LOAD-DATE:·March·16·2017·",0,50
"LOAD-DATE:·March·20·",0,36
"LOAD-DATE:·March·6·",29,52
"LOAD-DATE:·March·7·2017·",18,64
"LOAD-DATE:·May·21·2017·",0,20
"LOAD-DATE:·November·14·",51,34
"LOAD-DATE:·November·16·2016·",26,48
"LOAD-DATE:·November·20·",56,26
"LOAD-DATE:·November·22·",65,46
"LOAD-DATE:·November·3·2016·",26,44
"LOAD-DATE:·November·4·2016·",33,0
"LOAD-DATE:·November·8·2016·",0,30
"LOAD-DATE:·October·1·",45,0
"LOAD-DATE:·October·10·2016·",26,26
"LOAD-DATE:·October·13·2016·",22,58
"LOAD-DATE:·October·14·",64,42
"LOAD-DATE:·October·14·2016·",0,42
"LOAD-DATE:·October·17·2016·",26,50
"LOAD-DATE:·October·18·",74,58
"LOAD-DATE:·October·21·",0,52
"LOAD-DATE:·October·6·",36,60
"LOAD-DATE:·October·6·2016·",0,60
"LOAD-DATE:·September·10·",41,26
"LOAD-DATE:·September·17·2016·",0,22
"LOAD-DATE:·September·2·2016·",17,28
"LOAD-DATE:·September·22·",56,34
"LOAD-DATE:·September·22·2016·",24,0
"LOAD-DATE:·September·28·",0,36
"LOAD-DATE:·September·30·2016·",19,48
"LOAD-DATE:·September·4·2016·",13,14
"LOAD-DATE:·September·5·",57,44
"LOAD-DATE:·September·6·",51,0
"LOAD-DATE:·September·7·",56,38
"LOAD-DATE:·September·8·2016·",19,26
"LOAD-DATE:·September·9·2016·",15,36
"local·businesses·",0,14
"log·on·to·",0,28
"London·and·",228,40
"London·Road·",0,20
"London·with·",13,0
"long·as·",184,28
"long·been·",48,34
"look·at·the·",0,34
"look·forward·to·",118,524
"look·forward·to·working·",0,128
"look·to·",149,44
"looking·for·",0,208
"looking·forward·",0,94
"looks·at·the·",17,40
"looks·at·the·progress·French·",0,14
"looks·like·",104,30
"looks·set·",34,14
"looks·to·",51,18
"lorry·and·car·",0,18
"lose·a·",0,16
"lose·access·",22,0
"lost·his·",37,20
"Loughborough·Echo·",15,26
"ltd·having·ceased·to·",0,30
"lucky·escape·",0,66
"made·as·",14,14
"made·for·",49,14
"made·his·",40,14
"made·in·the·",91,18
"made·me·",18,16
"made·the·",265,138
"made·to·",173,134
"made·with·",17,14
"MAIL·(London)·",211,32
"Mail·and·Echo·Ltd·",429,186
"Mail·on·Sunday·",111,22
"maintaining·the·",40,0
"major·GlaxoSmithKline·(LSE:·GSK)·",0,36
"major·Takeda·Pharmaceutical·(TYO:·4502)·",0,14
"make·any·",48,14
"Make·our·",15,296
"make·sure·",362,80
"make·this·",59,48
"make·up·the·",19,16
"makes·it·",95,0
"man·in·the·",18,68
"man·of·",14,38
"Man·taken·",0,26
"man·was·arrested·on·suspicion·of·",0,50
"manage·to·",35,0
"managing·director·",18,24
"managing·director·",167,116
"managing·director·at·",0,16
"manufacturers·and·",22,0
"manufacturing·and·",61,128
"manufacturing·and·",0,128
"many·of·the·",0,52
"March·26·2017·Sunday·",0,16
"March·28·2017·",0,174
"March·6·2017·",20,0
"March·and·",0,16
"March·for·",14,0
"market·at·",20,18
"Market·Place·",0,14
"market·the·",45,36
"market·the·",0,36
"marketing·and·",0,64
"markets·for·",35,48
"Marr·Show·",18,0
"Matrix·The·day·at·",29,80
"May·13.·",0,14
"May·25·",0,126
"May·4·2017·",0,114
"May·8·2017·",0,130
"May·after·",22,0
"may·be·",14,0
"may·feel·",13,14
"may·have·been·",53,96
"may·not·",0,74
"may·not·be·",139,24
"may·result·",18,22
"McDonnell·the·shadow·",13,0
"me·and·",60,28
"me·to·",131,50
"means·Brexit'·",35,0
"means·of·",42,24
"means·that·the·",38,22
"means·the·UK·",20,0
"meant·it·",17,0
"meant·the·",38,0
"Media·Group·",0,3544
"Media·Limited·",171,14
"medical·devices·",15,50
"medicine·company·",0,14
"Medicines·Agency·",55,0
"Medicines·Agency·and·",0,20
"meet·the·needs·",18,32
"meet·their·",16,22
"meeting·of·",218,80
"member·states·",254,38
"members·of·",481,232
"Members·of·",68,0
"members·of·the·",294,164
"membership·of·",419,14
"membership·of·the·single·market·and·",33,0
"men·and·",43,0
"mental·health·",0,48
"MEP·has·",19,0
"Merck·&·Co·(NYSE:·",0,160
"Merck·and·",0,46
"message·from·",0,14
"message·was·",24,0
"met·in·",38,20
"met·the·primary·endpoint·",0,22
"metastatic·non-small·cell·lung·",0,26
"MGN·Ltd.·",609,928
"Michael·Gove·",74,0
"Michael·Russell·said·",21,0
"Middle·East·",48,86
"middle·of·the·",28,18
"Midland·Independent·Newspapers·plc·",159,68
"million·people·",0,138
"million·people·in·",13,22
"million·to·",62,186
"million·To·",0,38
"minds·of·",34,0
"minister·also·",22,0
"minister·and·",96,0
"minister·could·",13,0
"ministers·should·",18,0
"Ministry·of·",46,0
"minutes·to·",15,24
"miss·out!·",15,300
"miss·out·on·all·the·latest·",0,300
"miss·out·on·all·the·latest·breaking·news·",15,296
"miss·out·on·all·the·latest·breaking·news·where·",0,296
"model·to·",13,18
"moment·in·",62,16
"money·at·",14,0
"monotherapy·or·",0,16
"month·in·",55,16
"more·-·",13,0
"more·closely·",19,22
"more·likely.·",21,0
"more·of·",156,40
"more·people·",119,56
"more·than·100·",53,30
"more·than·20·",28,74
"more·than·300·",0,14
"more·than·a·",0,120
"more·than·two·",44,48
"more·weird·stories·from·around·",0,98
"more·weird·stories·from·around·the·",0,98
"morning·on·",0,22
"most·of·",398,114
"Most·of·the·",24,14
"most·recent·",54,54
"most·significant·",48,14
"Motor·Manufacturers·and·Traders·",17,0
"motorcyclist·was·taken·to·hospital·",0,16
"move·a·",19,0
"move·into·",35,28
"MP·says·",16,0
"Mr·Hammond·was·",14,0
"Mr·Javid·",28,0
"Mr·Johnson·was·",22,0
"Mr·Salmond·",39,0
"Mr·Smith·",51,14
"Mr·Trump's·",0,16
"MRK)·and·",0,24
"Mrs·May·insisted·",22,0
"much·as·we·",19,0
"much·of·that·",14,0
"Much·of·the·",21,0
"much·stronger·",13,0
"multiple·sclerosis·(MS)·",0,16
"murder·probe·",0,16
"muscular·dystrophy·(DMD)·",0,16
"music·and·",17,26
"NA·NA·",0,20
"named·for·",0,14
"nearly·half·",32,0
"necessary·to·",115,56
"necessary·to·",115,0
"neck·squamous·",0,20
"need·of·",27,100
"need·to·take·",0,16
"needs·and·",24,36
"negative·impact·",119,38
"negotiate·the·",50,0
"negotiating·with·",49,0
"negotiator·Michel·Barnier·",224,0
"negotiators·are·",29,0
"Netherlands-incorporated·drugmaker·Mylan·(Nasdaq:·",0,16
"never·be·",78,0
"new·business·",28,0
"new·cancer·",0,40
"new·car·sales·",16,0
"new·chapter·",14,14
"new·chapter·",14,0
"new·chief·",22,50
"new·global·",15,0
"new·policy·",14,20
"new·policy·",14,0
"new·president·",14,0
"new·relationship·",52,0
"new·standard·",0,18
"new·system·",32,20
"new·therapeutic·",0,64
"New·Year·",38,22
"new·year·",44,18
"New·Zealand's·Pharmaceutical·",0,20
"Newcastle·Chronicle·&·",292,186
"Newcastle·Chronicle·&·Journal·Ltd.·",0,186
"Newpapers·Ltd.·",396,176
"NEWS;·OPINION;·",36,0
"NEWS;·Pg.·",5924,5322
"NEWS;·Pg.·11·",153,0
"NEWS;·Pg.·13·",109,148
"NEWS;·Pg.·15·",92,166
"NEWS;·Pg.·3·",85,142
"NEWS;·Pg.·33·",16,46
"NEWS;·Pg.·34·",16,30
"NEWS;·Pg.·6·",451,230
"NEWS;·Pg.·6·",0,230
"NEWS;·Pg.·7·",327,196
"NEWS:OTHER;·Pg.·1·",0,34
